subject	order	NR_R	TNT	trial	rt
12	2	1	1	6	358.4
12	2	1	1	6	487.9
12	2	1	1	6	NaN
12	2	1	1	6	403.8
12	2	1	1	6	675.3
12	2	1	1	6	613.4
12	2	1	1	6	426.2
12	2	1	2	1	704.7
12	2	1	2	1	944.5
12	2	1	2	1	788.6
12	2	1	2	1	NaN
12	2	1	2	1	625.9
12	2	1	2	1	706.5
12	2	1	2	1	788.4
12	2	1	2	1	608
12	2	1	2	2	763.6
12	2	1	2	2	640.1
12	2	1	2	2	NaN
12	2	1	2	2	554.4
12	2	1	2	2	588.9
12	2	1	2	2	722.9
12	2	1	2	2	482.1
12	2	1	2	2	600.1
12	2	1	2	3	516.1
12	2	1	2	3	526.6
12	2	1	2	3	476.6
12	2	1	2	3	536.3
12	2	1	2	3	632.5
12	2	1	2	3	475.2
12	2	1	2	3	507.8
12	2	1	2	3	525.3
12	2	1	2	4	760.3
12	2	1	2	4	629.8
12	2	1	2	4	449.7
12	2	1	2	4	513
12	2	1	2	4	726.3
12	2	1	2	4	677.4
12	2	1	2	4	540.6
12	2	1	2	4	489.6
12	2	1	2	5	592.3
12	2	1	2	5	677.9
12	2	1	2	5	681.1
12	2	1	2	5	619.8
12	2	1	2	5	NaN
12	2	1	2	5	522.1
12	2	1	2	5	497.4
12	2	1	2	5	449
12	2	1	2	6	473.5
12	2	1	2	6	890.2
12	2	1	2	6	559.2
12	2	1	2	6	530.7
12	2	1	2	6	793
12	2	1	2	6	696.5
12	2	1	2	6	768.1
12	2	1	2	6	519.3
12	2	2	1	1	NaN
12	2	2	1	1	565.6
12	2	2	1	1	610
12	2	2	1	1	691.3
12	2	2	1	1	803.9
12	2	2	1	1	686
12	2	2	1	1	576.7
12	2	2	1	1	746.1
12	2	2	1	2	530
12	2	2	1	2	611.4
12	2	2	1	2	657.5
12	2	2	1	2	762.9
12	2	2	1	2	598.3
12	2	2	1	2	734.1
12	2	2	1	2	622
12	2	2	1	2	670.3
12	2	2	1	3	NaN
12	2	2	1	3	681.7
12	2	2	1	3	805.7
12	2	2	1	3	701.4
12	2	2	1	3	693.8
12	2	2	1	3	658.4
12	2	2	1	3	776.5
12	2	2	1	3	575
12	2	2	1	4	546.8
12	2	2	1	4	616.2
12	2	2	1	4	667.2
12	2	2	1	4	562.8
12	2	2	1	4	490.8
12	2	2	1	4	499.5
12	2	2	1	4	503.9
12	2	2	1	4	500.9
12	2	2	1	5	382.9
12	2	2	1	5	510.9
12	2	2	1	5	493.6
12	2	2	1	5	437.1
12	2	2	1	5	419.1
12	2	2	1	5	508.5
12	2	2	1	5	454.5
12	2	2	1	5	554.2
12	2	2	1	6	621.2
12	2	2	1	6	344.6
12	2	2	1	6	NaN
12	2	2	1	6	NaN
12	2	2	1	6	483.5
12	2	2	1	6	472
12	2	2	1	6	456.4
12	2	2	1	6	497.9
12	2	2	2	1	794.7
12	2	2	2	1	763.4
12	2	2	2	1	790.6
12	2	2	2	1	708.3
12	2	2	2	1	679.7
12	2	2	2	1	639.2
12	2	2	2	1	779.7
12	2	2	2	1	596.6
12	2	2	2	2	794.6
12	2	2	2	2	682.4
12	2	2	2	2	634.8
12	2	2	2	2	685
12	2	2	2	2	719.1
12	2	2	2	2	594.9
12	2	2	2	2	783.4
12	2	2	2	2	652.9
12	2	2	2	3	800.3
12	2	2	2	3	NaN
12	2	2	2	3	908.1
12	2	2	2	3	609.8
12	2	2	2	3	NaN
12	2	2	2	3	787
12	2	2	2	3	721.9
12	2	2	2	3	636.4
12	2	2	2	4	576.9
12	2	2	2	4	743.8
12	2	2	2	4	567.3
12	2	2	2	4	563.7
12	2	2	2	4	604.3
12	2	2	2	4	725.1
12	2	2	2	4	634.4
12	2	2	2	4	469.6
12	2	2	2	5	NaN
12	2	2	2	5	728.4
12	2	2	2	5	676.1
12	2	2	2	5	719.3
12	2	2	2	5	891.5
12	2	2	2	5	677.4
12	2	2	2	5	536.1
12	2	2	2	5	556
12	2	2	2	6	486.2
12	2	2	2	6	447.7
12	2	2	2	6	417.4
12	2	2	2	6	NaN
12	2	2	2	6	596.1
12	2	2	2	6	468
12	2	2	2	6	669.4
12	2	2	2	6	521.4
13	2	1	1	1	956
13	2	1	1	1	807.7
13	2	1	1	1	839.9
13	2	1	1	1	654.4
13	2	1	1	1	801.4
13	2	1	1	1	535.1
13	2	1	1	1	557.2
13	2	1	1	1	521.6
13	2	1	1	2	467
13	2	1	1	2	471
13	2	1	1	2	503.9
13	2	1	1	2	585.4
13	2	1	1	2	688.2
13	2	1	1	2	483.6
13	2	1	1	2	570.8
13	2	1	1	2	688.3
13	2	1	1	3	538
13	2	1	1	3	582.6
13	2	1	1	3	601.7
13	2	1	1	3	NaN
13	2	1	1	3	836.4
13	2	1	1	3	NaN
13	2	1	1	3	NaN
13	2	1	1	3	710
13	2	1	1	4	697.6
13	2	1	1	4	534
13	2	1	1	4	501.3
13	2	1	1	4	527.7
13	2	1	1	4	623.9
13	2	1	1	4	510.4
13	2	1	1	4	544.4
13	2	1	1	4	597.6
13	2	1	1	5	427
13	2	1	1	5	532.2
13	2	1	1	5	540.2
13	2	1	1	5	829.4
13	2	1	1	5	538.7
13	2	1	1	5	758.1
13	2	1	1	5	414.1
13	2	1	1	5	382.8
13	2	1	1	6	538.3
13	2	1	1	6	525.8
13	2	1	1	6	778
13	2	1	1	6	545.1
13	2	1	1	6	794.9
13	2	1	1	6	412
13	2	1	1	6	639.8
13	2	1	1	6	NaN
13	2	1	2	1	619.4
13	2	1	2	1	501.9
13	2	1	2	1	452.8
13	2	1	2	1	523
13	2	1	2	1	517.5
13	2	1	2	1	NaN
13	2	1	2	1	NaN
13	2	1	2	1	1013.2
13	2	1	2	2	1043.8
13	2	1	2	2	499.3
13	2	1	2	2	792.2
13	2	1	2	2	635.7
13	2	1	2	2	465.2
13	2	1	2	2	633.6
13	2	1	2	2	578.1
13	2	1	2	2	NaN
13	2	1	2	3	NaN
13	2	1	2	3	NaN
13	2	1	2	3	NaN
13	2	1	2	3	693.4
13	2	1	2	3	751.1
13	2	1	2	3	NaN
13	2	1	2	3	NaN
13	2	1	2	3	NaN
13	2	1	2	4	561.6
13	2	1	2	4	693.2
13	2	1	2	4	494.8
13	2	1	2	4	511
13	2	1	2	4	511.4
13	2	1	2	4	645.4
13	2	1	2	4	674.9
13	2	1	2	4	699.7
13	2	1	2	5	608.2
13	2	1	2	5	630.8
13	2	1	2	5	635.8
13	2	1	2	5	NaN
13	2	1	2	5	698.3
13	2	1	2	5	548.9
13	2	1	2	5	590.4
13	2	1	2	5	731.8
13	2	1	2	6	612.6
13	2	1	2	6	958.4
13	2	1	2	6	881.5
13	2	1	2	6	668.6
13	2	1	2	6	611.3
13	2	1	2	6	603.4
13	2	1	2	6	1023.7
13	2	1	2	6	766.7
13	2	2	1	1	627.4
13	2	2	1	1	747.9
13	2	2	1	1	885.5
13	2	2	1	1	813.2
13	2	2	1	1	NaN
13	2	2	1	1	829
13	2	2	1	1	804.4
13	2	2	1	1	711.6
13	2	2	1	2	592.7
13	2	2	1	2	540.3
13	2	2	1	2	817.3
13	2	2	1	2	633.6
13	2	2	1	2	488.5
13	2	2	1	2	855.2
13	2	2	1	2	719.4
13	2	2	1	2	525.7
13	2	2	1	3	670.4
13	2	2	1	3	824.8
13	2	2	1	3	488.1
13	2	2	1	3	524.4
13	2	2	1	3	560.5
13	2	2	1	3	520.7
13	2	2	1	3	454.1
13	2	2	1	3	453
13	2	2	1	4	484.9
13	2	2	1	4	694.1
13	2	2	1	4	726.5
13	2	2	1	4	349.2
13	2	2	1	4	469.2
13	2	2	1	4	670.8
13	2	2	1	4	614.1
13	2	2	1	4	NaN
13	2	2	1	5	588.8
13	2	2	1	5	736.5
13	2	2	1	5	997.4
13	2	2	1	5	560.9
13	2	2	1	5	542.1
13	2	2	1	5	528.9
13	2	2	1	5	982.2
13	2	2	1	5	736.7
13	2	2	1	6	581.9
13	2	2	1	6	708.5
13	2	2	1	6	669.5
13	2	2	1	6	559.7
13	2	2	1	6	651
13	2	2	1	6	487.8
13	2	2	1	6	530.1
13	2	2	1	6	585
13	2	2	2	1	482.2
13	2	2	2	1	NaN
13	2	2	2	1	564.3
13	2	2	2	1	700.1
13	2	2	2	1	733.6
13	2	2	2	1	727.8
13	2	2	2	1	715
13	2	2	2	1	646.9
13	2	2	2	2	592.6
13	2	2	2	2	532.1
13	2	2	2	2	719
13	2	2	2	2	NaN
13	2	2	2	2	572.8
13	2	2	2	2	NaN
13	2	2	2	2	690.9
13	2	2	2	2	632
13	2	2	2	3	816.6
13	2	2	2	3	528.8
13	2	2	2	3	731.6
13	2	2	2	3	677.9
13	2	2	2	3	821
13	2	2	2	3	623.1
13	2	2	2	3	NaN
13	2	2	2	3	710.3
13	2	2	2	4	521.4
13	2	2	2	4	641.7
13	2	2	2	4	680.6
13	2	2	2	4	716.3
13	2	2	2	4	507.7
13	2	2	2	4	636.7
13	2	2	2	4	598.9
13	2	2	2	4	NaN
13	2	2	2	5	603.9
13	2	2	2	5	NaN
13	2	2	2	5	684.8
13	2	2	2	5	962.3
13	2	2	2	5	600.5
13	2	2	2	5	802.9
13	2	2	2	5	759.5
13	2	2	2	5	737.6
13	2	2	2	6	NaN
13	2	2	2	6	690.3
13	2	2	2	6	596.1
13	2	2	2	6	613.2
13	2	2	2	6	643.3
13	2	2	2	6	834.3
13	2	2	2	6	610.7
13	2	2	2	6	635.4
14	1	1	1	1	589
14	1	1	1	1	563
14	1	1	1	1	443
14	1	1	1	1	483.1
14	1	1	1	1	551.9
14	1	1	1	1	545.2
14	1	1	1	1	534.7
14	1	1	1	1	520.8
14	1	1	1	2	546.9
14	1	1	1	2	506
14	1	1	1	2	512.1
14	1	1	1	2	654.1
14	1	1	1	2	549.9
14	1	1	1	2	487
14	1	1	1	2	509.8
14	1	1	1	2	485.7
14	1	1	1	3	493.7
14	1	1	1	3	459.9
14	1	1	1	3	507.2
14	1	1	1	3	434.2
14	1	1	1	3	527.1
14	1	1	1	3	513.2
14	1	1	1	3	599.2
14	1	1	1	3	490.6
14	1	1	1	4	494.8
14	1	1	1	4	503.7
14	1	1	1	4	516
14	1	1	1	4	551.9
14	1	1	1	4	625.8
14	1	1	1	4	493.9
14	1	1	1	4	550.6
14	1	1	1	4	477.4
14	1	1	1	5	574.2
14	1	1	1	5	588.2
14	1	1	1	5	530.5
14	1	1	1	5	489.5
14	1	1	1	5	447.4
14	1	1	1	5	428.2
14	1	1	1	5	522.1
14	1	1	1	5	727.1
14	1	1	1	6	528.5
14	1	1	1	6	NaN
14	1	1	1	6	481.2
14	1	1	1	6	465.9
14	1	1	1	6	536.7
14	1	1	1	6	663.9
14	1	1	1	6	542
14	1	1	1	6	468.1
14	1	1	2	1	639.8
